id,objectid,state,stcode,district,dtcode,shape_length,shape_area,ds_name,src_agency,state_name
501,501,PY,34,Karaikal,598,118432.96099095525,163401673.65190893,Administrative Boundary,Survey of India (SOI),Puducherry
502,502,PY,34,Mahe,599,24288.025899453623,10307352.796449514,Administrative Boundary,Survey of India (SOI),Puducherry
505,505,RJ,08,Ajmer,086,814021.6283556425,8164973268.059025,Administrative Boundary,Survey of India (SOI),Rajasthan
506,506,RJ,08,Alwar,087,903512.6892602574,8106484917.113271,Administrative Boundary,Survey of India (SOI),Rajasthan
507,507,RJ,08,Banswara,088,430679.59446396376,4307163574.223301,Administrative Boundary,Survey of India (SOI),Rajasthan
508,508,RJ,08,Baran,089,629394.0373208033,6714406925.395516,Administrative Boundary,Survey of India (SOI),Rajasthan
509,509,RJ,08,Barmer,090,1048855.287031618,27321530596.238724,Administrative Boundary,Survey of India (SOI),Rajasthan
510,510,RJ,08,Bharatpur,091,729941.0185820516,4892580479.1122,Administrative Boundary,Survey of India (SOI),Rajasthan
511,511,RJ,08,Bhilwara,092,726464.477963933,10092860271.44621,Administrative Boundary,Survey of India (SOI),Rajasthan
512,512,RJ,08,Bikaner,093,1199733.3163950606,29252725140.785637,Administrative Boundary,Survey of India (SOI),Rajasthan
513,513,RJ,08,Bundi,094,482255.05588085053,5560944987.459359,Administrative Boundary,Survey of India (SOI),Rajasthan
514,514,RJ,08,Chittorgarh,095,991740.4232118864,7503843709.984804,Administrative Boundary,Survey of India (SOI),Rajasthan
515,515,RJ,08,Churu,096,1021945.6644184558,13421740849.87513,Administrative Boundary,Survey of India (SOI),Rajasthan
516,516,RJ,08,Dausa,097,512692.9776199892,3293902247.1667833,Administrative Boundary,Survey of India (SOI),Rajasthan
517,517,RJ,08,Dholpur,098,396957.15682019596,2922087781.764721,Administrative Boundary,Survey of India (SOI),Rajasthan
518,518,RJ,08,Dungarpur,099,380153.7371252378,3643793200.2869806,Administrative Boundary,Survey of India (SOI),Rajasthan
519,519,RJ,08,Ganganagar,100,782496.9284316316,10372196411.669317,Administrative Boundary,Survey of India (SOI),Rajasthan
520,520,RJ,08,Hanumangarh,101,870497.4180487165,9623514857.897116,Administrative Boundary,Survey of India (SOI),Rajasthan
533,533,RJ,08,Sikar,114,720178.9849057,7448509289.437846,Administrative Boundary,Survey of India (SOI),Rajasthan
534,534,RJ,08,Sirohi,115,453461.5064992774,4941016669.031678,Administrative Boundary,Survey of India (SOI),Rajasthan
